date,timestamp,id,pkt,rssi,ax,ay,az,gx,gy,gz,gx_diff,gy_diff,gz_diff
25/06/2024 11:42,774 # timestamp: 85396833238935,81204,19882, RSSI: 52,-182,748,670,52,-105,-24,,,
25/06/2024 11:42,882 # timestamp: 85401129516965,81204,19883, RSSI: 93,-183,745,674,93,-91,-4,,,
25/06/2024 11:42,988 # timestamp: 85405424287656,81204,19884, RSSI: 64,-184,741,694,64,-88,-7,,,
25/06/2024 11:42,095 # timestamp: 85409718992791,81204,19885, RSSI: 82,-185,751,693,82,-105,-11,,,
25/06/2024 11:42,203 # timestamp: 85414012649397,81204,19886, RSSI: -40,-186,744,714,-40,-75,-31,,,
25/06/2024 11:42,309 # timestamp: 85418308468654,81204,19887, RSSI: 19,-180,743,684,19,-82,-18,,,
25/06/2024 11:42,417 # timestamp: 85422603370410,81204,19888, RSSI: 40,-181,738,685,40,-86,-19,,,
25/06/2024 11:42,523 # timestamp: 85426898927511,81204,19889, RSSI: 74,-184,744,677,74,-105,-10,,,
25/06/2024 11:42,630 # timestamp: 85431193763751,81204,19890, RSSI: 55,-184,743,692,55,-89,-12,,,
25/06/2024 11:42,737 # timestamp: 85435488010148,81204,19891, RSSI: 19,-184,741,698,19,-92,-23,,,
25/06/2024 11:42,843 # timestamp: 85439782977444,81204,19892, RSSI: 17,-182,743,695,17,-92,-23,,,
25/06/2024 11:42,950 # timestamp: 85444078010266,81204,19893, RSSI: 38,-186,746,690,38,-102,-22,,,
25/06/2024 11:42,057 # timestamp: 85448372060068,81204,19894, RSSI: -8,-185,748,696,-8,-92,-36,,,
25/06/2024 11:42,165 # timestamp: 85452667682723,81204,19895, RSSI: 15,-185,746,690,15,-93,-26,,,
25/06/2024 11:42,272 # timestamp: 85456962781095,81204,19896, RSSI: 24,-184,744,691,24,-89,-24,,,
25/06/2024 11:42,378 # timestamp: 85461257289647,81204,19897, RSSI: -3,-186,747,690,-3,-81,-31,,,
25/06/2024 11:42,483 # timestamp: 85465552584614,81204,19898, RSSI: 18,-184,745,689,18,-90,-26,,,
25/06/2024 11:42,590 # timestamp: 85469847945124,81204,19899, RSSI: 30,-184,740,685,30,-92,-20,,,
25/06/2024 11:42,699 # timestamp: 85474142257066,81204,19900, RSSI: -1,-186,743,705,-1,-86,-30,,,
25/06/2024 11:42,805 # timestamp: 85478436962219,81204,19901, RSSI: -20,-187,744,701,-20,-85,-34,,,
25/06/2024 11:42,912 # timestamp: 85482733174681,81204,19902, RSSI: 72,-182,742,680,72,-103,-15,,,
25/06/2024 11:42,017 # timestamp: 85482734288821,81204,19903, RSSI: 62,-182,732,700,62,-75,2,,,
